t, x, y, z, x', y', z', x'', y'', z''
8020.0, -19838179.752350423, 38009053.31271365, -14616775.285030574, -3194.2440621878195, 2699.2997100535404, -2353.5197404896735, 0.08507006521467174, -0.1629905361502175, 0.06267964310477776
8040.0, -19902047.62604802, 38063006.74072828, -14663833.148676528, -3192.544904059676, 2696.047120953923, -2352.267800400261, 0.0848459933328663, -0.16226955989023362, 0.06251454689207417
8060.0, -19965881.56136633, 38116895.2608981, -14710866.006517079, -3190.850219349505, 2692.808901971344, -2351.0191563262188, 0.08462272270822588, -0.1615535144015545, 0.06235004104582949
8080.0, -20029681.647613462, 38170719.159642175, -14757873.924354421, -3189.159992050793, 2689.584954943619, -2349.7737964739267, 0.08440025147334612, -0.16084235447045564, 0.062186124190139594
8100.0, -20093447.973777894, 38224478.721424915, -14804856.967755163, -3187.474206194719, 2686.3751826076405, -2348.531709077579, 0.08417857772594697, -0.16013603539953816, 0.06202279492340358
8120.0, -20157180.62852897, 38278174.22877444, -14851815.202051034, -3185.7928458508386, 2683.1794885891454, -2347.292882399605, 0.083957699530076, -0.15943451300071085, 0.06186005181921186
8140.0, -20220879.700217854, 38331805.962300174, -14898748.692339178, -3184.115895127774, 2679.9977773926075, -2346.057304731238, 0.08373761491728601, -0.1587377435882844, 0.061697893427212054
8160.0, -20284545.276878368, 38385374.20071024, -14945657.503482873, -3182.443338173807, 2676.8299543912162, -2344.8249643929257, 0.08351832188778137, -0.15804568397217233, 0.061536318273954
8180.0, -20348177.446227487, 38438879.220829144, -14992541.70011214, -3180.7751591775427, 2673.675925817095, -2343.595849734818, 0.0832998184115332, -0.15735829145119895, 0.06137532486371253
8200.0, -20411776.29566676, 38492321.29761424, -15039401.346624244, -3179.1113423684724, 2670.5355987515495, -2342.3699491372095, 0.08308210242937218, -0.15667552380651115, 0.061214911679290364
8220.0, -20475341.912282277, 38545700.70417316, -15086236.50718443, -3177.4518720175474, 2667.4088811154693, -2341.1472510109525, 0.0828651718540463, -0.15599733929509446, 0.06105507718280052
8240.0, -20538874.38284626, 38599017.711780265, -15133047.24572646, -3175.7967324377473, 2664.295681659904, -2339.9277437978235, 0.08264902457125736, -0.15532369664338558, 0.06089581981642753
8260.0, -20602373.793817446, 38652272.58989294, -15179833.625953091, -3174.145907984585, 2661.1959099567416, -2338.711415970966, 0.08243365844067023, -0.15465455504099038, 0.06073713800317168
8280.0, -20665840.231342338, 38705465.6061681, -15226595.711337114, -3172.4993830566455, 2658.1094763894985, -2337.4982560352423, 0.08221907129689408, -0.15398987413449056, 0.06057903014757269
8300.0, -20729273.781255733, 38758597.02647899, -15273333.56512157, -3170.8571420960534, 2655.036292144211, -2336.2882525276336, 0.08200526095043774, -0.15332961402135073, 0.0604214946364127
8320.0, -20792674.5290815, 38811667.11492973, -15320047.250320582, -3169.219169588954, 2651.976269200516, -2335.0813940175267, 0.08179222518864858, -0.1526737352439245, 0.06026452983940929
8340.0, -20856042.560034007, 38864676.13387239, -15366736.829720093, -3167.585450065998, 2648.929320322836, -2333.8776691070807, 0.08157996177661692, -0.15202219878353845, 0.06010813410988036
8360.0, -20919377.95901857, 38917624.34392199, -15413402.365878219, -3165.9559681027063, 2645.8953590515735, -2332.6770664315495, 0.08136846845806525, -0.1513749660546816, 0.05995230578539961
8380.0, -20982680.81063234, 38970512.003971875, -15460043.921126217, -3164.3307083199866, 2642.8742996945816, -2331.479574659601, 0.08115774295621118, -0.1507319988992758, 0.059797043188433485
8400.0, -21045951.19916556, 39023339.371209644, -15506661.55756919, -3162.70965538443, 2639.8660573186403, -2330.2851824935747, 0.0809477829746069, -0.15009325958103148, 0.05964234462695887
8420.0, -21109189.20860197, 39076106.70113104, -15553255.337086435, -3161.0927940087595, 2636.870547741096, -2329.093878669827, 0.08073858619796433, -0.14945871077990133, 0.059488208395071185
8440.0, -21172394.922620274, 39128814.24755629, -15599825.321332358, -3159.480108952197, 2633.8876875215424, -2327.905651958927, 0.08053015029294837, -0.14882831558660115, 0.05933463277356831
8460.0, -21235568.42459491, 39181462.26264381, -15646371.571737235, -3157.8715850208055, 2630.9173939537263, -2326.7204911659824, 0.0803224729089599, -0.1482020374972278, 0.05918161603052819
8480.0, -21298709.79759658, 39234050.9969051, -15692894.149507714, -3156.2672070678004, 2627.9595850574433, -2325.5383851308434, 0.08011555167889259, -0.14757984040795474, 0.059029156421866846
8500.0, -21361819.124393664, 39286580.699219435, -15739393.11562751, -3154.6669599939387, 2625.0141795706213, -2324.3593227283786, 0.07990938421987204, -0.14696168860980424, 0.05887725219188172
8520.0, -21424896.487453226, 39339051.61684775, -15785868.530858325, -3153.070828747757, 2622.0810969414433, -2323.183292868676, 0.07970396813397697, -0.14634754678350123, 0.05872590157378367
8540.0, -21487941.968941577, 39391463.99544738, -15832320.455740314, -3151.478798325917, 2619.1602573206465, -2322.010284497263, 0.07949930100893801, -0.14573737999440448, 0.05857510279021212
8560.0, -21550955.650725637, 39443818.0790854, -15878748.950592915, -3149.8908537734483, 2616.2515815538204, -2320.8402865953135, 0.07929538041882452, -0.14513115368751472, 0.05842485405374032
8580.0, -21613937.614373267, 39496114.110252276, -15925154.07551572, -3148.3069801840097, 2613.3549911739406, -2319.673288179846, 0.0790922039247094, -0.14452883368255928, 0.05827515356736766
8600.0, -21676887.94115512, 39548352.32987682, -15971535.89038874, -3146.7271627002146, 2610.470408393829, -2318.509278303926, 0.07888976907531468, -0.1439303861691407, 0.05812599952499112
8620.0, -21739806.7120452, 39600532.977338254, -16017894.454873499, -3145.1513865137845, 2607.597756098886, -2317.348246056799, 0.07868807340764782, -0.14333577770197123, 0.05797739011187672
